categoria,subcategoria,variable,unidad,anio,valor
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2023,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2024,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2025,
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2005,2621.854245128437
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2006,2540.6963365794923
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2007,2703.012153677382
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2008,2707.6271238474633
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2009,2715.516341242413
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2010,2697.1376234624877
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2011,2694.240539985876
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2012,2699.580099362923
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2013,2693.056616875039
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2014,2680.6528657736612
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2015,2683.120549900837
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2016,2698.171620650013
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2017,2650.4926584850473
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2018,2681.644268310174
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2019,2728.6934369448963
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2020,2806.6666024709307
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2021,2796.708212231777
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2022,2763.8361181336245
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2023,2800.7470954951073
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2024,2849.7286693515052
COMBUSTIBLES,MEDIO,CEM CARBÓN,[Kcal/KWh],2025,2821.008764475278
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2005,2587.916167076697
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2006,2588.7057332229283
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2007,2587.1266009304654
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2008,2587.7696087774452
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2009,2597.8978075571895
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2010,2601.8061396685816
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2011,2643.817850435878
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2012,2664.2396860712624
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2013,2655.668260424978
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2014,2656.8290514441355
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2015,2655.2295862386322
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2016,2667.593889806786
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2017,2533.5675085488874
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2018,2536.960917121695
COMBUSTIBLES,ESPECÍFICO,CEM FUEL OIL,[Kcal/KWh],2019,2473.1557837743353
